fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option
8575778236202111887,Organic Search,67374,Egypt,not available in demo dataset,,,67,7,,20160901,1472774215,PAGE,,,18990000,,GGOEGAAX0288,Google Women's Short Sleeve Shirt Light Grey,Home/Apparel/Women's/Women's-T-Shirts/,(not set),USD,,,,,Women's-T-Shirts,,/google+redesign/,0,1,
3597050228087042957,Direct,20649,United States,Austin,,,21,2,,20160914,1473885609,PAGE,,,18990000,,GGOEGAAX0289,Google Women's Short Sleeve Shirt Dark Grey,Home/Apparel/Women's/Women's-T-Shirts/,(not set),USD,,,,,Women's-T-Shirts,,/google+redesign/,0,1,
2975660081934341523,Organic Search,574123,Taiwan,(not set),,,4591,105,,20160805,1470462204,PAGE,,,18990000,,GGOEGAAX0289,Google Women's Short Sleeve Shirt Dark Grey,Home/Apparel/Women's/Women's-T-Shirts/,(not set),USD,,,,,Women's-T-Shirts,,/google+redesign/,0,1,
2160706963987531641,Direct,75340,United States,San Francisco,,,151,6,,20160823,1471979772,PAGE,,,18990000,,GGOEGAAX0290,YouTube Women's Short Sleeve Crew Tee,Home/Apparel/Women's/Women's-T-Shirts/,(not set),USD,,,,,Women's-T-Shirts,,/google+redesign/,0,1,
8694852302233357775,Organic Search,6947,United States,New York,,,139,9,,20160902,1472844821,PAGE,,,18990000,,GGOEGAAX0290,YouTube Women's Short Sleeve Crew Tee,Home/Apparel/Women's/Women's-T-Shirts/,(not set),USD,,,,,Women's-T-Shirts,,/google+redesign/,0,1,
9844460588876542897,Affiliates,112965,United States,New York,,,113,5,,20160930,1475243310,PAGE,,,18990000,,GGOEGAAX0291,Google Women's Short Sleeve Shirt Blue,Home/Apparel/Women's/Women's-T-Shirts/,(not set),USD,,,,,Women's-T-Shirts,,/google+redesign/,0,1,
6402635554390648387,Organic Search,54499,United States,not available in demo dataset,,,54,1,,20160803,1470279001,EVENT,,,18990000,,GGOEGAAX0291,Google Women's Short Sleeve Shirt Blue,Home/Apparel/Women's/Women's-T-Shirts/,(not set),USD,,,,,Women's-T-Shirts,,/google+redesign/,0,1,
5267664610893708749,Organic Search,315939,Taiwan,(not set),,,472,19,,20160913,1473835845,PAGE,,,18990000,,GGOEGAAX0292,Google Women's Short Sleeve Shirt Red,Home/Apparel/Women's/Women's-T-Shirts/,(not set),,,,,,Women's-T-Shirts,,/google+redesign/,2,1,
5082924540617417549,Organic Search,7672,United States,not available in demo dataset,,,77,9,,20160826,1472195671,PAGE,,,18990000,,GGOEGAAX0292,Google Women's Short Sleeve Shirt Red,Home/Apparel/Women's/Women's-T-Shirts/,(not set),USD,,,,,Women's-T-Shirts,,/google+redesign/,0,1,
5804926577039377233,Referral,74766,United States,not available in demo dataset,105430000,1,997,48,,20160912,1473717624,PAGE,,,15190000,,GGOEGAAX0292,Google Women's Short Sleeve Shirt Red,Home/Apparel/Women's/Women's-T-Shirts/,(not set),USD,,,,,Women's-T-Shirts,,/google+redesign/,0,1,
